health_region_code,year,measure_type,live_births,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,neonatal_per_1000,infant_per_1000,under5_per_1000,maternal_per_100000
13007,2005,occurrence,2811,37,81,116,4,13.1625755958734,28.8153681963714,41.2664532194948,142.298114549982
13007,2005,residence,2984,37,87,123,4,12.3994638069705,29.1554959785523,41.2198391420912,134.048257372654
13007,2010,occurrence,2349,40,69,87,3,17.0285227756492,29.3742017879949,37.037037037037,127.713920817369
13007,2010,residence,2604,43,76,94,4,16.5130568356375,29.1858678955453,36.0983102918587,153.609831029186
13007,2015,occurrence,2609,31,55,65,2,11.8819471061709,21.0808738980452,24.9137600613262,76.657723265619
13007,2015,residence,2933,34,60,74,2,11.5922263893624,20.4568700988749,25.2301397886123,68.1895669962496
13008,2000,occurrence,2418,25,45,61,1,10.339123242349,18.6104218362283,25.2274607113317,41.3564929693962
13008,2000,residence,2420,27,48,68,1,11.1570247933884,19.8347107438017,28.099173553719,41.3223140495868
13008,2005,occurrence,2953,42,65,77,2,14.222824246529,22.0115137148662,26.0751777853031,67.7277345072807
13008,2005,residence,2966,43,68,80,3,14.4976399190829,22.9265003371544,26.9723533378287,101.146325016858
13008,2010,occurrence,2910,39,60,74,2,13.4020618556701,20.6185567010309,25.4295532646048,68.7285223367698
13008,2010,residence,2911,39,60,74,2,13.3974579182412,20.611473720371,25.4208175884576,68.7049124012367
13008,2015,occurrence,3090,34,44,55,2,11.0032362459547,14.2394822006473,17.7993527508091,64.7249190938511
13008,2015,residence,3100,36,50,61,2,11.6129032258065,16.1290322580645,19.6774193548387,64.5161290322581
13009,2000,occurrence,3164,63,110,143,3,19.9115044247788,34.7661188369153,45.1959544879899,94.8166877370417
13009,2000,residence,3165,64,116,153,5,20.2211690363349,36.650868878357,48.3412322274882,157.977883096367
13009,2005,occurrence,4626,36,61,80,3,7.78210116731518,13.1863380890618,17.2935581495893,64.8508430609598
13009,2005,residence,4625,38,66,88,3,8.21621621621622,14.2702702702703,19.027027027027,64.8648648648649
13009,2010,occurrence,5214,41,107,148,9,7.86344457230533,20.5216724204066,28.3851169927119,172.612197928654
13009,2010,residence,5237,45,114,157,10,8.5927057475654,21.7681878938323,29.9789956081726,190.949016612564
13009,2015,occurrence,6363,95,148,188,3,14.9300644350149,23.2594688040233,29.5458117240295,47.1475719000472
