municipality_code,year,measure_type,municipality_name,live_births,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,neonatal_per_1000,infant_per_1000,under5_per_1000,maternal_per_100000
110029,2005,occurrence,Santa Luzia D'Oeste,97,0,0,1,0,0,0,10.3092783505155,0
110029,2005,residence,Santa Luzia D'Oeste,140,1,1,2,0,7.14285714285714,7.14285714285714,14.2857142857143,0
110029,2010,occurrence,Santa Luzia D'Oeste,11,0,0,0,0,0,0,0,0
110029,2010,residence,Santa Luzia D'Oeste,127,1,2,2,0,7.8740157480315,15.748031496063,15.748031496063,0
110029,2015,occurrence,Santa Luzia D'Oeste,3,0,0,0,0,0,0,0,0
110029,2015,residence,Santa Luzia D'Oeste,109,0,0,0,0,0,0,0,0
110030,2000,occurrence,Vilhena,1543,13,22,25,0,8.4251458198315,14.2579390797148,16.202203499676,0
110030,2000,residence,Vilhena,1194,11,17,20,0,9.21273031825796,14.2378559463987,16.750418760469,0
110030,2005,occurrence,Vilhena,1747,16,22,27,1,9.15855752718947,12.5930165998855,15.4550658271322,57.2409845449342
110030,2005,residence,Vilhena,1294,12,16,21,0,9.27357032457496,12.3647604327666,16.2287480680062,0
110030,2010,occurrence,Vilhena,1790,22,25,30,1,12.2905027932961,13.9664804469274,16.7597765363129,55.8659217877095
110030,2010,residence,Vilhena,1304,22,26,29,0,16.8711656441718,19.9386503067485,22.239263803681,0
110030,2015,occurrence,Vilhena,2290,5,9,12,0,2.18340611353712,3.93013100436681,5.24017467248908,0
110030,2015,residence,Vilhena,1535,11,19,22,1,7.16612377850163,12.3778501628665,14.3322475570033,65.1465798045603
110032,2000,occurrence,São Miguel do Guaporé,200,3,8,9,0,15,40,45,0
110032,2000,residence,São Miguel do Guaporé,224,5,12,13,0,22.3214285714286,53.5714285714286,58.0357142857143,0
110032,2005,occurrence,São Miguel do Guaporé,362,1,3,4,0,2.76243093922652,8.28729281767956,11.0497237569061,0
110032,2005,residence,São Miguel do Guaporé,396,3,5,7,0,7.57575757575758,12.6262626262626,17.6767676767677,0
110032,2010,occurrence,São Miguel do Guaporé,172,0,0,0,0,0,0,0,0
110032,2010,residence,São Miguel do Guaporé,252,1,1,1,0,3.96825396825397,3.96825396825397,3.96825396825397,0
110032,2015,occurrence,São Miguel do Guaporé,242,0,1,1,0,0,4.13223140495868,4.13223140495868,0
110032,2015,residence,São Miguel do Guaporé,311,1,4,4,0,3.21543408360129,12.8617363344051,12.8617363344051,0
110033,2000,occurrence,Nova Mamoré,209,3,4,5,0,14.3540669856459,19.1387559808612,23.9234449760766,0
110033,2000,residence,Nova Mamoré,271,3,6,7,0,11.070110701107,22.140221402214,25.830258302583,0
110033,2005,occurrence,Nova Mamoré,362,0,1,2,0,0,2.76243093922652,5.52486187845304,0
110033,2005,residence,Nova Mamoré,425,5,7,8,0,11.7647058823529,16.4705882352941,18.8235294117647,0
110033,2010,occurrence,Nova Mamoré,299,2,2,4,0,6.68896321070234,6.68896321070234,13.3779264214047,0
110033,2010,residence,Nova Mamoré,417,6,8,10,0,14.3884892086331,19.1846522781775,23.9808153477218,0
110033,2015,occurrence,Nova Mamoré,15,0,0,0,0,0,0,0,0
110033,2015,residence,Nova Mamoré,404,4,4,4,0,9.9009900990099,9.9009900990099,9.9009900990099,0
110034,2000,occurrence,Alvorada D'Oeste,510,1,4,4,1,1.96078431372549,7.84313725490196,7.84313725490196,196.078431372549
110034,2000,residence,Alvorada D'Oeste,472,3,7,7,1,6.35593220338983,14.8305084745763,14.8305084745763,211.864406779661
110034,2005,occurrence,Alvorada D'Oeste,271,1,2,3,0,3.690036900369,7.38007380073801,11.070110701107,0
110034,2005,residence,Alvorada D'Oeste,322,5,7,8,0,15.527950310559,21.7391304347826,24.8447204968944,0
110034,2010,occurrence,Alvorada D'Oeste,188,1,1,1,0,5.31914893617021,5.31914893617021,5.31914893617021,0
110034,2010,residence,Alvorada D'Oeste,190,4,5,5,0,21.0526315789474,26.3157894736842,26.3157894736842,0
110034,2015,occurrence,Alvorada D'Oeste,11,0,0,0,1,0,0,0,9090.90909090909
110034,2015,residence,Alvorada D'Oeste,200,2,4,4,1,10,20,20,500
110037,2000,occurrence,Alto Alegre dos Parecis,10,0,1,1,0,0,100,100,0
110037,2000,residence,Alto Alegre dos Parecis,231,1,4,5,0,4.32900432900433,17.3160173160173,21.6450216450217,0
110037,2005,occurrence,Alto Alegre dos Parecis,7,0,0,0,0,0,0,0,0
110037,2005,residence,Alto Alegre dos Parecis,183,2,2,3,0,10.9289617486339,10.9289617486339,16.3934426229508,0
110037,2010,occurrence,Alto Alegre dos Parecis,3,0,0,0,0,0,0,0,0
110037,2010,residence,Alto Alegre dos Parecis,204,2,2,2,0,9.80392156862745,9.80392156862745,9.80392156862745,0
110037,2015,occurrence,Alto Alegre dos Parecis,4,0,0,0,0,0,0,0,0
110037,2015,residence,Alto Alegre dos Parecis,149,0,1,1,0,0,6.71140939597315,6.71140939597315,0
110040,2000,occurrence,Alto Paraíso,32,0,0,0,0,0,0,0,0
110040,2000,residence,Alto Paraíso,274,1,1,1,0,3.64963503649635,3.64963503649635,3.64963503649635,0
110040,2005,occurrence,Alto Paraíso,5,0,0,1,0,0,0,200,0
110040,2005,residence,Alto Paraíso,270,1,1,2,0,3.7037037037037,3.7037037037037,7.40740740740741,0
110040,2010,occurrence,Alto Paraíso,13,1,2,2,0,76.9230769230769,153.846153846154,153.846153846154,0
110040,2010,residence,Alto Paraíso,282,6,8,9,0,21.2765957446809,28.3687943262411,31.9148936170213,0
110040,2015,occurrence,Alto Paraíso,4,0,2,2,0,0,500,500,0
110040,2015,residence,Alto Paraíso,247,1,5,5,0,4.04858299595142,20.2429149797571,20.2429149797571,0
110045,2000,occurrence,Buritis,474,5,7,8,0,10.5485232067511,14.7679324894515,16.8776371308017,0
110045,2000,residence,Buritis,610,7,11,13,0,11.4754098360656,18.0327868852459,21.3114754098361,0
110045,2005,occurrence,Buritis,816,11,12,15,0,13.4803921568627,14.7058823529412,18.3823529411765,0
110045,2005,residence,Buritis,875,10,14,18,0,11.4285714285714,16,20.5714285714286,0
110045,2010,occurrence,Buritis,747,1,2,2,0,1.33868808567604,2.67737617135208,2.67737617135208,0
110045,2010,residence,Buritis,656,4,4,4,0,6.09756097560976,6.09756097560976,6.09756097560976,0
110045,2015,occurrence,Buritis,1121,1,1,2,0,0.892060660124889,0.892060660124889,1.78412132024978,0
110045,2015,residence,Buritis,608,6,9,11,0,9.86842105263158,14.8026315789474,18.0921052631579,0
110050,2000,occurrence,Novo Horizonte do Oeste,12,2,3,4,0,166.666666666667,250,333.333333333333,0
110050,2000,residence,Novo Horizonte do Oeste,230,5,7,8,0,21.7391304347826,30.4347826086957,34.7826086956522,0
110050,2005,occurrence,Novo Horizonte do Oeste,1,0,0,0,0,0,0,0,0
110050,2005,residence,Novo Horizonte do Oeste,140,0,0,0,0,0,0,0,0
110050,2010,occurrence,Novo Horizonte do Oeste,0,0,0,0,0,,,,
110050,2010,residence,Novo Horizonte do Oeste,149,0,0,0,0,0,0,0,0
110050,2015,occurrence,Novo Horizonte do Oeste,1,0,0,0,0,0,0,0,0
110050,2015,residence,Novo Horizonte do Oeste,109,0,0,0,0,0,0,0,0
110060,2000,occurrence,Cacaulândia,79,0,0,0,0,0,0,0,0
110060,2000,residence,Cacaulândia,102,0,1,1,0,0,9.80392156862745,9.80392156862745,0
110060,2005,occurrence,Cacaulândia,43,0,0,0,0,0,0,0,0
110060,2005,residence,Cacaulândia,101,0,1,1,0,0,9.9009900990099,9.9009900990099,0
110060,2010,occurrence,Cacaulândia,2,0,0,0,0,0,0,0,0
110060,2010,residence,Cacaulândia,70,0,1,1,0,0,14.2857142857143,14.2857142857143,0
110060,2015,occurrence,Cacaulândia,2,0,0,0,0,0,0,0,0
110060,2015,residence,Cacaulândia,72,0,0,0,0,0,0,0,0
110070,2000,occurrence,Campo Novo de Rondônia,67,4,4,4,0,59.7014925373134,59.7014925373134,59.7014925373134,0
110070,2000,residence,Campo Novo de Rondônia,183,3,4,4,0,16.3934426229508,21.8579234972678,21.8579234972678,0
110070,2005,occurrence,Campo Novo de Rondônia,11,1,2,2,0,90.9090909090909,181.818181818182,181.818181818182,0
110070,2005,residence,Campo Novo de Rondônia,144,2,3,5,0,13.8888888888889,20.8333333333333,34.7222222222222,0
110070,2010,occurrence,Campo Novo de Rondônia,2,0,0,0,0,0,0,0,0
110070,2010,residence,Campo Novo de Rondônia,183,3,6,6,0,16.3934426229508,32.7868852459016,32.7868852459016,0
110070,2015,occurrence,Campo Novo de Rondônia,0,1,1,1,0,,,,
110070,2015,residence,Campo Novo de Rondônia,156,2,2,3,0,12.8205128205128,12.8205128205128,19.2307692307692,0
110080,2000,occurrence,Candeias do Jamari,2,1,1,1,1,500,500,500,50000
110080,2000,residence,Candeias do Jamari,50,0,0,0,0,0,0,0,0
110080,2005,occurrence,Candeias do Jamari,4,1,2,2,0,250,500,500,0
110080,2005,residence,Candeias do Jamari,194,3,3,3,1,15.4639175257732,15.4639175257732,15.4639175257732,515.463917525773
110080,2010,occurrence,Candeias do Jamari,3,0,0,0,0,0,0,0,0
110080,2010,residence,Candeias do Jamari,365,7,8,11,1,19.1780821917808,21.9178082191781,30.1369863013699,273.972602739726
110080,2015,occurrence,Candeias do Jamari,3,0,1,2,0,0,333.333333333333,666.666666666667,0
110080,2015,residence,Candeias do Jamari,323,5,8,8,0,15.4798761609907,24.7678018575851,24.7678018575851,0
110090,2000,occurrence,Castanheiras,3,0,0,0,0,0,0,0,0
110090,2000,residence,Castanheiras,82,1,1,1,0,12.1951219512195,12.1951219512195,12.1951219512195,0
110090,2005,occurrence,Castanheiras,1,0,0,0,0,0,0,0,0
110090,2005,residence,Castanheiras,61,0,0,0,0,0,0,0,0
